Epoch, Time, Latitude(deg), Longitude(deg), Height(m), Sats
1, 2021/11/14  7:21:20 GPS, 30.52780383, 114.35695869, 14.1656, 22
2, 2021/11/14  7:21:21 GPS, 30.52780363, 114.35695834, 14.1383, 22
3, 2021/11/14  7:21:22 GPS, 30.52780345, 114.35695802, 14.0980, 22
4, 2021/11/14  7:21:23 GPS, 30.52780384, 114.35695815, 14.1010, 22
5, 2021/11/14  7:21:24 GPS, 30.52780409, 114.35695810, 14.1123, 22
6, 2021/11/14  7:21:25 GPS, 30.52780411, 114.35695801, 14.1241, 22
7, 2021/11/14  7:21:26 GPS, 30.52780461, 114.35695820, 14.1184, 22
8, 2021/11/14  7:21:27 GPS, 30.52780480, 114.35695840, 14.0902, 22
9, 2021/11/14  7:21:28 GPS, 30.52780485, 114.35695819, 14.0752, 22
10, 2021/11/14  7:21:29 GPS, 30.52780471, 114.35695795, 14.0700, 22
11, 2021/11/14  7:21:30 GPS, 30.52780467, 114.35695740, 14.0112, 22
12, 2021/11/14  7:21:31 GPS, 30.52780509, 114.35695758, 14.0307, 22
13, 2021/11/14  7:21:32 GPS, 30.52780545, 114.35695764, 13.9936, 22
14, 2021/11/14  7:21:33 GPS, 30.52780563, 114.35695786, 14.0150, 22
15, 2021/11/14  7:21:34 GPS, 30.52780568, 114.35695784, 14.0015, 22
16, 2021/11/14  7:21:35 GPS, 30.52780575, 114.35695775, 13.9848, 22
17, 2021/11/14  7:21:36 GPS, 30.52780590, 114.35695806, 13.9632, 22
18, 2021/11/14  7:21:37 GPS, 30.52780619, 114.35695844, 13.9943, 22
19, 2021/11/14  7:21:38 GPS, 30.52780642, 114.35695860, 13.9843, 22
20, 2021/11/14  7:21:39 GPS, 30.52780643, 114.35695874, 13.9541, 22
21, 2021/11/14  7:21:40 GPS, 30.52780623, 114.35695848, 13.9849, 22
22, 2021/11/14  7:21:41 GPS, 30.52780608, 114.35695816, 13.9385, 22
23, 2021/11/14  7:21:42 GPS, 30.52780588, 114.35695803, 13.9332, 22
24, 2021/11/14  7:21:43 GPS, 30.52780589, 114.35695800, 13.9320, 22
